hotel_name,reviewer_name,ethnicity,num_reviews,date,rating,neg_review,pos_review
Oakwood Boston,Alfonso,Costa Rica,3 Reviews,April 21  2017,6.7,Appliances and houseware in the bathroom and kitchen could be upgraded and/or updated.Configuration of the TV in the room was not ok. and we never managed to fix it.We arrived at 10pm after a long trip and the concierge was out; there was a sign saying he/she was patrolling the building. with his/her mobile phone number if you needed to call; but we flew from outside the US (as probably many other guests) and we didn't have a phone to call him/her; so we had to wait in the lobby for 50 minutes until another guest checking in got in and called him; when he finally arrived he apologized and said that there were 11 floors and that it took him a lot of time to go through all of them. I find that excuse unacceptable. they should ask the concierge to do that round after all new guests have already checked in (he knew there were two apartments left. because we could see both labeled envelopes in his table).Guest service was not good before the arrival (we had a few unpleaseant situations. finally solved but more due to our insistence than to their own initiative. we had to call from abroad the day before our trip to get the answer to an email we had written asking how we would collect the keys to the apartment). and inexistent during the stay (no one even wrote us a message asking if everything was ok. mere courtesy you could expect. even more after the prevous inconveniences; I needed something and went downstairs to their office. they said "sorry. we cannot help you with that". which is ok if was something out of their hands. but they also could've been a little more helpful suggesting me to the best way to get it somewhere else).,The bed was comfortable.The location is very good.Water heating was quick and good.
Oakwood Boston,Aura,Romania,9 Reviews,April 12  2017,8.3,Since it's not a hotel. but an apartment building. they do not restock on toiletries or cleaning products (like detergent for the dishwasher). I can see how that makes sense for longer stays. but for our week-long trip it was a small inconvenience. because you can usually buy items like these only in bulk.,Great localtion and great value for money!
Oakwood Boston,Ana,Panama,2 Reviews,March 1  2017,8.8,The halls of the Aparthotel are not very elegant but that is not very important if you do not use the Hotel very much.,The OAKWOOD apartments are excellent. They have a good price per rental per week. are fully furnished and have full kitchen. laundry. sets of sheets. towels. and personal items. The apartments are conveniently located. giving you the ease of walking to almost all of Boston's major attractions such as the New England Aquarium. Downtown for shopping. close to Old Trolley and Metro stops. TD Garden to see the games Basketball and Quincy Market where there are many restaurants. Even close to where several metro lines join to be able to go to various Boston Universities. famous Breweries. Museums. etc. We loved its location.
Oakwood Boston,Tarana,Azerbaijan,6 Reviews,February 26  2017,8.8,Furniture is a bit outdated. stovetop should be fixed for even cooking.,Great location in downtown. clear check in and check out instructions. clean and spacious apartment. comfortable bed. almost all kitchenware for cooking. T station in 2 minutes walk. lot of dining places around. The nearest supermarket - Roche Brothers in 15 minutes walk. near Downtown Crossing T station. however few grocery stores are in close proximity to apartment.
Oakwood Boston,Danielle,United States of America,5 Reviews,December 10  2016,10,Can't think of anything.,I was in Boston visiting with my daughter who lives there.  This was my third visit this year and my first time staying at the Oakwood Boston.  My initial reaction upon seeing the apartment was Wow!  It is an excellent. professional. and clean condominium. located downtown near a large variety of restaurants and shops.  The apartment was very spacious and well appointed with a full kitchen. living room. washer and dryer.  More importantly. the apartment is soundproof; I couldn’t hear my neighbors. so slept very well!  The staff was very accommodating too with my early check-in.  I would definitely look to stay here again when planning my next visit.
Oakwood Boston,Family,United States of America,1 review,December 9  2016,9.6,They cleaned the rug in the hall when we were there. It smelled very toxic for a couple of days. Also the parking is very. very expensive. Wish they could get a deal somewhere.,The beds were very comfortable! It was great the kids had their own bathroom. It is in a great location.
Oakwood Boston,Trevor Travel,Bermuda,1 review,November 21  2016,8.3,Staff could have been a a little more helpful.The cost if you wanted someone clean the room and empty trash for a day seemed a little pricey.,The room had full amenities including all necessary pots and pans. large fridge. electric cooker. spacious.Location was perfect to walk to Faneuil hall. 60 seconds away and the "T" line even closer.
Oakwood Boston,DR.ABHAY SHAH,India,2 Reviews,September 23  2016,8.8,They messed up my booking dates both check in and check out. Luckily I reached during office hours to check in or else I would not have got the keys to the room.,Location
Oakwood Boston,Amer,United States of America,4 Reviews,June 14  2016,10,N/A,Position of the hotel is perfect for tourists who want to see the Down Town.Hotel is the perfect place for family with pets.The hotel staff is exceptional. Donald is a star!
Oakwood Boston,James,South Africa,7 Reviews,November 13  2015,5.0,The location is very very noisy. Police. Ambulances and Bars keep activities going til very late... We also had roadworks for three weeks non stop 7pm-4.30am !! No kettle,Clean. functional
Oakwood Boston,Christopher,Australia,5 Reviews,October 30  2017,7.5,Initially overcharged for room which took far too long to resolve.,LocationWashing machine/dryerWell equipped
Oakwood Boston,Barbara,United States of America,1 review,October 26  2017,8.3,Bed was not very comfortable. nor was the living room furniture.,N/A
Oakwood Boston,Gena12712,United States of America,4 Reviews,October 25  2017,7.9,Appliances &amp; bed,Location. size
Oakwood Boston,Susan,United Kingdom,3 Reviews,October 15  2017,8.8,Tea. coffee provided,Bed very comfy.  Spacious apartment with everything we needed.
Oakwood Boston,Leonard,United States of America,1 review,October 8  2017,7.9,Strange vomit smell in the lobby and elevators needed servicing.,Location and clean amenities.
Oakwood Boston,Hakeema,Bahrain,11 Reviews,October 1  2017,9.6,Everything was good,Spacious . clean and well equipped . Central location to blue . orange and green line .
Oakwood Boston,Robin,United States of America,1 review,September 6  2017,10,One night after hours some occupants had a guy at the door that was letting people in for a party. It didn't feel secured,The area was perfect
Oakwood Boston,James,United States of America,1 review,August 3  2017,5.0,Old carpet. sloppy improvements. condition of bathrooms. Lobby in bad shape.,N/A
Oakwood Boston,LilyC,Indonesia,2 Reviews,July 12  2017,7.1,The property is old and no on site parking,Walk to a lot of places
Oakwood Boston,Anonymous,United States of America,1 review,July 3  2017,7.5,Very outdated. Cheap decor.,Location and staff were great.
Oakwood Boston,Azilah,Canada,11 Reviews,June 24  2017,9.6,Parking,Great location
Oakwood Boston,Melanie owen,United Kingdom,2 Reviews,June 22  2017,9.2,Nothing. it was fabulous!,So much space. really well equipped. comfortable bed. perfect location for business and pleasure.
Oakwood Boston,Grainne,Ireland,4 Reviews,May 11  2017,10,THE BED MATTRESS DIPPED IN THE MIDDLE...GOOD QUALITY. BUT I THINK IN NEED OF REPLACEMENT!,THE LOCATION AND THE STYLE AND CLEANLINESS OF THE APARTMENT
Oakwood Boston,Jan,Canada,13 Reviews,May 2  2017,9.2,N/A,Amazing location! Very low key! Awesome place to stay!
Oakwood Boston,Anonymous,Canada,2 Reviews,April 23  2017,8.8,Could have been cleaner,Location
Oakwood Boston,James,United States of America,2 Reviews,April 22  2017,9.6,N/A,We enjoyed our stay with Oakwood Boston everything was excellent!
Oakwood Boston,Alex,Australia,4 Reviews,April 20  2017,9.6,Noisy on Saturday night from nearby bars.,Nice big apartment very centrally located. easy walk to everything and to subway stations.
Oakwood Boston,Frances,New Zealand,1 review,April 19  2017,8.8,N/A,Loved it! Exactly what I payed for! Couldn't be happier :-)
Oakwood Boston,Australian,Australia,2 Reviews,March 17  2017,8.3,No cooking basics eg oil. salt. pepper,N/A
Oakwood Boston,Elif,Turkey,64 Reviews,January 30  2017,9.6,Nothing,The location is perfect. Very near to Quincy Market with many choices for eating. drinking &amp; shopping.
Oakwood Boston,Indra,Saudi Arabia,24 Reviews,January 21  2017,8.3,N/A,Location. apt. size. fast wifi. many shops &amp; restaurants nearby.
Oakwood Boston,Rozalis,Indonesia,1 review,January 15  2017,10,The washing machine needs to be renewed,Strategic locationComfort bed rooms &amp; living rooms
Oakwood Boston,Maureen,Ireland,23 Reviews,January 3  2017,10,N/A,It was a great location. very central. absolutely spotlessly clean. very warm and comfortable and so quiet.I would highly recommend it..
Oakwood Boston,Ken,Canada,2 Reviews,December 11  2016,9.6,N/A,Perfect location and excellent overall rating will definitely return if available.
Oakwood Boston,Tony,Ireland,1 review,November 27  2016,8.3,Nothing to fault!,Feeling of security.Plenty of room.Good location for public transport.
Oakwood Boston,Tylee,United States of America,1 review,November 16  2016,10,N/A,The location is incredible!
14 Gloucester St #2B by Lyon Apartments,Anonymous,United Kingdom,8 Reviews,October 31  2017,8.3,N/A,Comfortable &amp; well equipped. For the purposes of my trip the location was excellent.
14 Gloucester St #4A by Lyon Apartments,Arthur,United States of America,3 Reviews,October 26  2017,8.8,parking but I was told it would be difficult.,Like everyone else has remark the location was great.   I am 75 and the unit was on the 4th floor but Mario said it would be great and the unit was great except for a slow drain in bathroom sink not enough light because they were burned out or not working.   But the kitchen was wonderful and all appliances brand new and to me high end'   Great place for younger couple and close to many nice restaurants
14 Gloucester St #4A by Lyon Apartments,Willem,South Africa,1 review,November 1  2017,8.8,Thats a lot of stairs - I was OK. but may want to warn people; also. coffee pod machine didnt work well,wonderfully located
14 Gloucester St #4A by Lyon Apartments,Alan,United States of America,3 Reviews,October 14  2017,10,One person at a time bathroom.,Fantastic location
112 Myrtle St #9 by Lyon Apartments,Anonymous,United Kingdom,6 Reviews,October 17  2017,5.4,it was cleanish but not spotless . large chest of drawers took up a lot of room in bedroom but you couldnt open the drawers one bedside light that didnt work between four of us and 2 bedside tables.communal stairs tired and kitchen and bathroom tired . Bed uncomfortable as you rolled into the middle due to uneven floor.Lounge was nice and comfy though and fridge stocked with drinks and snacks and lots of free toiletries fab location,great location
112 Myrtle St #9 by Lyon Apartments,Mary,United States of America,4 Reviews,September 2  2017,8.8,Beds were lopsided and you would roll towards the middle---also. was with 2 women in their 70s----VERY difficult to get the luggage up 4 flights of stairs with no elevator. it was 60+ stairs to get to our room...which made coming and going quiet a chore. Plus there is NO parking so we ended up just turing our car in 2 days early. Very small sink in bathroom. like VERY SMALL SINK,Location was great and the host was very nice and accommodating :) place was very clean and there were some snacks waiting for us which we really appreciated! Building was beautiful and area was very nice and clean!
112 Myrtle St #9 by Lyon Apartments,Gill,United Kingdom,4 Reviews,August 10  2017,9.6,It's a cool apartment in an old style building in historic Boston so no lift and fairly basic bathroom and kitchen. Suited us and our teenagers perfectly. There was nothing we didn't like.,Fantastic location right in the heart of Beacon Hill District. Great views across Boston roof tops. Lovely cafes. restaurants. shops close by. Stylish and minimalist inside. Extremely clean and comfortable. Mario extremely helpful and quick to respond to requests. Excellent value for money.
112 Myrtle St #9 by Lyon Apartments,Scots,United Kingdom,1 review,August 1  2017,7.9,Bathroom is a little small and could do with some attention. Stairs are steep and at an angle as it is an old building so if you struggle with steps or have small children it is not the place for you.,Apartment is spacious with a large sitting room and tv. In excellent location could easily walk to Boston Common and other sites. Has good internet access.
112 Myrtle St #9 by Lyon Apartments,Nrh,United Kingdom,4 Reviews,July 25  2017,9.2,N/A,The apartment is in a lovely character property close to so many shops and restaurants. Also super close to Boston Common. We really enjoyed our stay. The bed was really comfy and the towels were the softer than any 5star hotel I have ever stayed in.
112 Myrtle St #9 by Lyon Apartments,Jacqueline,United Kingdom,5 Reviews,July 10  2017,4.2,Where do I start - 4th floor no lift - 58 uneven steps hauling luggage.  Sounds crazy but apartment floors off level falling to the middle of the apartment.  We were a family of four much too small for four people. Even sitting on the loo you were lob sided. Bathroom tiny no fan. Kitchen tiny no space to cook. mat dirt rooms didn't look so small in photos. Sofa in living area not too clean.  Booking.com should remove this from the website.,This property was extremely poor.  We booked three properties through booking.com for our recent visit to USA and this was the only one that was disappointing definitely would not stay here again.  Cannot think of anything I liked except it was relatively cheap but would of preferred to have paid more for a better standard waste of money.
112 Myrtle St #9 by Lyon Apartments,Irene,United Kingdom,4 Reviews,June 10  2017,9.2,Earlier information I had emailed a week before but got no reply then had internet problems which meant I couldn't access into apartment took a couple of hrs and a fair few phone calls but eventually got in however apartment is up four levels with a very steep staircase with luggage so not for the faint hearted,Great location not far from main area of Boston which felt safe apartment was clean and had what you needed for a short stay
112 Myrtle St #9 by Lyon Apartments,James,United Kingdom,2 Reviews,May 28  2017,8.8,When booking we did not realise the flat was on the 4th floor without an elevator so carrying luggage was difficult,The location and a large amount of space. The host was really responsive to any needs and Boston is a great city.
112 Myrtle St #9 by Lyon Apartments,Beth,Canada,2 Reviews,April 5  2017,9.6,Nothing could have been better but the bathroom sink is very tiny ; however. one doesn't spend much time there (unlike the living room which was lovely). Also. no elevator and one must navigate four flight so stairs. For someone with mobility issues or lots of heavy luggage. it could prove to be challenging. It was not a deterrent to us and we preferred being on the top floor with no sounds above us. Also. although the building was quite. it is a city so bring your own white noise and sleep soundly.,Beds and bedding were very comfortable. Towels were unworn and very absorbent. Coffee was supplied via Keurig including Starbucks. Lots of light.  Bedrooms were well separated from each other so not impacted by sounds from the other family members.
112 Myrtle St #9 by Lyon Apartments,G,Spain,2 Reviews,March 13  2017,10,N/A,Super clean. fresh. comfy. quiet. We changed after to two other hotels. and the comfort was not comparable. I would especially note the comfort of the bed and fresh bed sheets that seemed to be quite new! All in all. full recommendation. The bathroom is small but gives all you need. and the rest of the flat it just great.
112 Myrtle St #9 by Lyon Apartments,Karen,United Kingdom,13 Reviews,January 22  2017,9.2,The kitchen had the basic number of plates . dishes and glasses (between 2 and 4) but if there had been a party of 4 staying it would have been a bit difficult.. It would have been helpful to have known in advance that it was up 4 flights of narrow stairs.,Location.  It was comfortable. clean and warm.  Thoughtful provision of snacks so there was something to eat when you arrived.
112 Myrtle St #9 by Lyon Apartments,Cassandre,United States of America,1 review,January 16  2017,9.6,The only thing I would specify is that they do require you to pay previous to arriving. I did email the owner to let him know booking.com said the opposite and he said he would get it resolved. :) also. just a heads up. the apartment is on top of a massive hill and on the top floor. no elevators. ğŸ˜‚ it's definitely a workout so be sure to bring your A game!,The owner left us snacks and plenty of toiletries. Any time we had a question. we emailed him and he responded within minutes with an answer. Best trip ever!
112 Myrtle St #9 by Lyon Apartments,Ann,Canada,4 Reviews,December 5  2016,9.0,There are a lot of steep stairs going up to the 4th floor and there was no hairdryer provided as was mentioned in the ad.,The location was excellent. Close to attractions could walk to great shopping and restaurants. Beds were very comfortable. Living area was spacious. There was lots of hot water for showers. Kitchen facilities came in handy for making breakfast and morning coffee.
112 Myrtle St #9 by Lyon Apartments,Lisa,United Kingdom,1 review,September 15  2017,6.3,No lift and difficult climbing 4 flights of stairs with heavy suitcases. Also property was in need of updating,Location
112 Myrtle St #9 by Lyon Apartments,Anna,Hong Kong,17 Reviews,August 12  2017,8.8,4th floor walk up with steep narrow staircase. Quite a challenge to get luggage up!,Gorgeous brown brick apartment in an excellent location
112 Myrtle St #9 by Lyon Apartments,Peter,United Kingdom,3 Reviews,June 11  2017,4.2,Dated. cramp. loads of stairs to the top. No lift so don't take loads of cases/luggage,Location in Beacon Hill
112 Myrtle St #9 by Lyon Apartments,Line,Denmark,3 Reviews,April 12  2017,10,Nothing,Everything about the apartment and location was great.
Two Bedroom Boston Luxury Apartment,Anna,United Kingdom,1 review,September 5  2017,9.6,N/A,What a superb property. We loved our family stay in this perfect apartment. The beds were so comfy. good laundry facilities and although we didn't meet Song. email communication was quick and efficient both before and after our stay.
Two Bedroom Boston Luxury Apartment,Ken,United States of America,1 review,September 3  2017,10,Nothing,Place was awesome. and well above expectations. Place was extremely clean and the beds were amazing! Song who is the owner was excellent to deal with! Would definitely recommend this place when you are with a group. Makes it that much more fun and enjoyable.
Two Bedroom Boston Luxury Apartment,Sirgourney,United States of America,1 review,August 2  2017,10,N/A,The staff was very pleasant to work with and accommodating. prairie to our stay. My bridesmaids and I had a really nice time staying here and it was a very comfortable stay. It was a nice space to hang with them and enjoy the last few days of my single life before I got married! Those beds are amazing! It is a spacious apartment and it was a plus that there were cooking utensils and things provided if you got hungry. Thank God for the elevator! We didn't hear anyone else in the building so the noise level was excellent. The A/C was useful during the hot days. Overall our stay was grand. I only wish it was a little closer to the heart of the city but it is still rather close.
Two Bedroom Boston Luxury Apartment,Philip,United States of America,1 review,July 9  2017,10,N/A,Song was very easy to work with! The kitchen had everything we needed and the beds were amazing. The location couldn't have been better - right next to Tavern in the Square and a quick Uber ride to Fenway. Overall very pleased with our stay!
Two Bedroom Boston Luxury Apartment,Waverly,United States of America,2 Reviews,June 17  2017,10,Nothing,The beds were incredibly comfortable! Song was very nice. easy to work with and offers an incredible property! I would definitely book this property again and would highly recommend it!!!
Two Bedroom Boston Luxury Apartment,Karen,United States of America,3 Reviews,June 5  2017,10,No complaints,Wonderful location.    The apartment was cheery. clean and very well appointed. Loved the custom matic beds.    Very comfortable.   Would definitely recommend to a family or group of friends.
Two Bedroom Boston Luxury Apartment,Aripin,Indonesia,1 review,June 1  2017,10,Nothing,The apartment was spacious and homy. The facility was really great. there were free snacks and drinks. the fridge was full with suppliments and ingredients for cooking. The beds were also really huge which could capacite about eight people. We also had the chance to wash and dry our clothes before we checked out.
Two Bedroom Boston Luxury Apartment,Anonymous,United States of America,1 review,August 24  2017,10,N/A,Very spacious and clean! Great location!
Two Bedroom Boston Luxury Apartment,Debbie,United States of America,1 review,August 12  2017,10,Can't think of a thing...,Clean. comfortable. great location!
Two Bedroom Boston Luxury Apartment,Rosalina,Indonesia,2 Reviews,July 14  2017,10,N/A,Location &amp; price
Two Bedroom Boston Luxury Apartment,Lindsay,United States of America,1 review,July 11  2017,10,Nothing,Clean. spacious. comfortable. great host
Two Bedroom Boston Luxury Apartment,Danny,Sweden,1 review,June 16  2017,10,Nothing negitave I could say about this place,Apartment is big and modern with everything working.
Two Bedroom Boston Luxury Apartment,Kelly,United States of America,12 Reviews,April 30  2017,10,N/A,Host was very pleasant and shared great info for our stay!  Apartment was perfect......VERY clean and comfortable!!!!
The Copley House,Manuel,Germany,44 Reviews,November 2  2017,5.8,- Had to call several days if housekeeping would come and when. - The studio is really small especially since there is not much storage room for luggage it is difficult.- Had to buy a pan for the chicken so that we could cook.,- Good location
The Copley House,Ben,United States of America,1 review,November 1  2017,10,No good parking. Don't bring a car.,It was so quaint. in a quiet location. and easy access to public transportation. Good views from windows and front. I'd stay here again in a heartbeat.
The Copley House,Willard,United States of America,39 Reviews,October 30  2017,9.2,The modern inverter temperature controller was not user friendly and took a while to learn.  The system is great once you understand how to use it.,This has to be one of the best locations in Boston.  It's close to the Prudential Center. the Green Line to get to the Gardner and Museum of Fine Arts. and to North Station. it's in a quiet. lovely Back Bay residential area close to a green corridor.  The building and room had a European flavor.  Very homey with a bay window with a nice dining table for two. great kitchenette. and fireplace (no longer operating).  The bed was comfortable.  There's good storage space also with nice appointments.
The Copley House,Anonymous,United States of America,1 review,October 30  2017,6.3,The room was super hot with no air flowing...even with the window open it made sleeping difficult...The room was also very small. The water pipes above the bed were so loud that it made it difficult to sleep.,The bed was super comfortable! It was nice to be able to walk to get meals just a short 5 minutes from our building.
The Copley House,Anonymous,United Kingdom,18 Reviews,October 29  2017,8.3,N/A,Helpful staff. A tastefully decorated room that at first seemed a little small. but in reality was well fitted out and was plenty big enough for our needs.
The Copley House,Gemma,United States of America,1 review,October 29  2017,3.3,This place is insanely expensive for what is basically a grotty. smelly old apartment. I paid nearly $700 to stay in a place for two nights you’d pay half the amount to stay in an air bnb twice as nice. Smelt like old people. Skannky mismatched old furniture from a year’s sale. bathroom was like something out of prison and the hairdryer blew up in my hand and gave me an electric shock. If I was paying 1/4 of the $ I’d have said it was ok. Don’t stay here!,Nothing!
The Copley House,Douglas,United States of America,1 review,October 28  2017,10,The pullout couch wasn't the most comfortable but hey. it's a pull out. We dragged the mattress to the floor and made a comfortable slumber party. Problem solved.,First and foremost. I must compliment the staff. They were beyond amazing! Friendly. wonderfully helpful and all around good people. I traveled from NYC with my husband and his siblings in from Brazil. The area looked like it had stepped out of a fairytale. The apartment was gorgeous. Prime location and could not have asked for a better place. We will be returning soon and 450% staying with them again. Great job guys and thank you for a fantastic stay!
The Copley House,Soul,United Kingdom,1 review,October 26  2017,8.8,I did not realise that you had supplied tea and coffee was so tired did not look in cupards went and bought it from shop just needs to be on display was a nice touch though,Room cosy every thing we needed good shower
The Copley House,Anonymous,United States of America,1 review,October 25  2017,4.6,The room was filthy dirty!  Rug stained and looked as if had never been cleaned counters appeared to nefered be cleaned and I’m sure floor had not been sweated for god knows how long!!  Big black behind bathroom door and we don’t have black hair!  Extremely dated place!,Location was perfect
The Copley House,Anonymous,United States of America,1 review,October 24  2017,7.1,Price was high- ?? due to Head of the Charles?Heat didn't work in the room. Not an issue after the first night because it was unseasonably warm outside,Location was great! (we are Northeastern alum so love that area)
The Copley House,Anonymous,United States of America,2 Reviews,October 24  2017,9.2,N/A,The property was clean and in a good central loacarion. It was cery close to the subway sntrabce so it was easy to get around. There were also lots of eating options close.
The Copley House,Dede,United States of America,1 review,October 24  2017,6.3,Duvet cover was upside down on the bed - the ties were at the top by the pillows instead of at the bottom of the bed. Shower curtain needed to be cleaned or replaced - there was a line of black mold at the bottom.,Relatively plain. but for the most part clean. and serviceable. Bed was comfortable.
The Copley House,Anonymous,United States of America,1 review,October 23  2017,7.1,Having to walk up 3 flights of stairs with large luggage.,Very cute and clean.  A little difficult to get to our room on the 3rd floor. especially with large luggage.  That wasn't taken into consideration. so on that point. we weren't too happy.  Otherwise. it was very nice.  A bit small. but otherwise quite nice.
The Copley House,Anonymous,United Kingdom,1 review,October 23  2017,4.6,See above,Clean shower and toilet. Pull out bed was the " second double bed" although we were not told this at time of booking.  The pull out was most uncomfortable.Location was good quite central
The Copley House,Margaret,United States of America,1 review,October 23  2017,7.1,Outdated. huge gross stain on the couch. Bathroom has a slight step so you trip every time you go in. Its like staying at your Grandmother house.,The neighborhood is in walking distance of everything. Its quiet and safe. The staff are super friendly and helpful.
The Copley House,Courtney,United States of America,1 review,October 23  2017,6.3,The room was the very bare minimum. The bathroom was extremely tiny. the room was only big enough for the bed. Almost no walking room. They did their best with the space but I would say it was not worth the money. You were really crammed in there. If it were less expensive I think it would be a fine spot.,The Copley House had very friendly staff and the location was amazing! It is walking distance to restaurants and night life.
The Copley House,Joy,United States of America,1 review,October 22  2017,8.8,No,Near Prudential center.  Fenway Paak ;)....walking distance to T. and grocery...booking problem was handled very professionally ...staff very helpful
The Copley House,1st-time,United States of America,1 review,October 21  2017,9.2,The only thing that we didn't like was that the guests directly upstairs from us had small children who ran and stomped constantly. making it sound like there was a herd of buffalo above us beginning before 6:00 in the morning and ending after 10:00pm. Hotel Management was sympathetic and said they would talk to the guests. but obviously they are not able to account for the behavior of either the children or the parents.,The hotel was located conveniently for everything that we needed/wanted to do. The staff was wonderful and checked us in early and quickly. The room was lovely and the bed was very comfortable.
The Copley House,Anonymous,China,2 Reviews,October 20  2017,6.3,Property has several buildings and the one where we stayed  was not the one indicated on the website. The staircase is really difficult if you have big suitcases.,Good location and quite clean.
The Copley House,Anonymous,United States of America,1 review,October 20  2017,9.2,Checkout was awkward.   The front desk isn't manned until 9:00 so I had to make a round trip from the convention center at mid-morning to exit the room and check my luggage.,The room had a fully equipped kitchenette. and it's an easy walk to the Hynes Convention Center.
The Copley House,Sharon,Australia,7 Reviews,October 20  2017,8.8,Not a lot. We did have to ask for a bottle opener. other than that all the basics were there.,My husband and I recently stayed for two nights at Copley House.  We found the check in staff extremely pleasant and indeed two of them helped us with our bags to our room which was located a short distance from the Reception area.  We had a spacious room with bed. table and chairs. sofa and a small kitchenette where we were able to prepare meals and separate bathroom.The location was really good with a short walk through a delightful park to Copley Square.I would definitely choose Copley House again when returning to Boston.
The Copley House,Neil,United Kingdom,12 Reviews,October 19  2017,9.2,I took a room without a bathroom. running water. With hindsight. I'd pay a bit more and have a bathroom.,Great location. Very helpful staff. Room's were clean. airy and comfortable. I'd use this property again.
The Copley House,Anonymous,United States of America,1 review,October 19  2017,5.8,Property is somewhat tired and in need of refurbishment.  Tiny bathroom.  Very spotty Internet/WiFi made it un-usable.,Great Back Bay location. convenient access.
The Copley House,Charles,United States of America,1 review,October 18  2017,4.6,Disappointing overall.  Bathroom way too small. Too expensive for what we received.Maids entered room without permission. Air-conditioning was ancient window unit that didn't work well at all.,Bed was comfortable.
The Copley House,Rosemary,United States of America,1 review,October 17  2017,6.3,Room given us was  too small for 2 people. No elevators. Narrow and steep stairs. Paid the same rate as our friends who stayed  in a much better and bigger room. Would stay there again  but would request a bigger room.,Location was close to attractions and pubic transportation.
The Copley House,Linda,Netherlands,5 Reviews,October 16  2017,9.2,The bathroom needs a renovation.,I stayed in a studio appartment. Small but cosy. The appartment was located on the top Floor of a brownstone building. The interieur felt somewhat dated. especially the bathroom. Everything worked fine though. It had a small kitchen.
The Copley House,Anonymous,United States of America,3 Reviews,October 16  2017,6.3,More like a bed and breakfast but without the breakfast. Our room was an old studio apartment in a separate building. No amenities other than $25 parking. Had to walk up 4-floors.,Convenient location to walking downtown.
The Copley House,Anonymous,United States of America,2 Reviews,October 16  2017,8.8,Loud music from room next door. we had to bang on the door in the middle of the night. Smoke detector went off at 11 pm for no reason.,The bed was lovely. room cute. location awesome and very clean.
The Copley House,Zheng,China,22 Reviews,October 16  2017,7.5,I booked three nights for stay. The first night we were arranged to a room in the basement. The second day. I asked to switch room. the staff agreed. but offered us a room which was just redecorated with no one lived before. The room is terribly smelly. Finally. we were moved to a room on the 4th floor. but fortunately everything is fine. I want to highlight the staff who took our luggages upstairs is very helpful.,Location is good and the neighborhood is nice. Room is spacious and bed is big enough for three persons.
The Copley House,Anonymous,United States of America,1 review,October 16  2017,7.9,As I mentioned above. the lighting was "lacking.",The location was excellent! We were within walking distance of the spot where our tours began every day.We liked the feel and appearance of the neighborhood. Overall. our Copley House stay was pleasant and convenient. Lighting wasn't good.
